# val_loss, val_acc, loss, acc
5.970475727212642969e-01,7.874251623710472048e-01,6.477528186420627998e-01,7.525325758886751704e-01
6.396127639416449018e-01,7.455089970263178989e-01,5.877315339709155984e-01,7.698987099610258289e-01
6.932150171010079687e-01,7.514970204430425627e-01,5.893907547266628022e-01,7.756874219079094024e-01
6.093359924183634480e-01,7.844311503949993325e-01,5.893567862951462066e-01,7.756874228351885447e-01
6.463452357196521891e-01,7.694610912285878568e-01,6.013003728971122452e-01,7.698987106079647758e-01
6.392046015062732289e-01,7.724551033830928670e-01,5.783343667921903020e-01,7.807525446592640250e-01
6.524692855909198785e-01,7.694610914070448837e-01,5.720640296270119718e-01,7.727930666784473823e-01
6.533092940631120005e-01,7.681159545545992451e-01,5.553813761507205848e-01,7.930535571878795098e-01
6.282484176273117615e-01,7.784431256398469667e-01,5.541499679808420398e-01,8.010130360528460169e-01
6.158139193932453681e-01,7.874251621925901778e-01,5.351844970810775148e-01,7.865412566061474875e-01
6.692667853332565642e-01,7.544910312591198709e-01,5.684764920996687732e-01,7.916063796809716946e-01
6.310628581412894844e-01,7.784431269782745577e-01,5.321746212356169847e-01,7.959479133446206722e-01
5.970492482542277823e-01,7.874251623710472048e-01,5.578188488607641604e-01,7.908827909598646899e-01
6.306805357693912040e-01,7.814371385974084872e-01,5.409529960340943022e-01,7.916063799181826122e-01
