# val_loss, val_acc, loss, acc
1.046444672605265636e+00,5.159420422885728774e-01,1.622713699135729160e+00,3.913978614634083253e-01
8.868278086717639175e-01,6.369047768946204391e-01,1.192110869192307909e+00,5.462365749702658979e-01
8.630357972745384965e-01,6.458333512502056895e-01,1.016544412541133147e+00,6.093190145748917930e-01
7.274433744273015590e-01,6.964285849992718491e-01,9.677518792049859542e-01,6.150537809377075726e-01
7.481959584568228516e-01,6.815476348357540903e-01,8.870078488703696529e-01,6.630824541532864824e-01
8.046302021081958022e-01,6.636904935751642975e-01,8.298379836543914312e-01,6.817204477966473108e-01
8.859404652778591904e-01,6.785714445369583903e-01,8.357006784087868123e-01,6.759856788701908981e-01
7.515356943809560208e-01,6.636904943734407425e-01,8.131075786646976278e-01,7.010752853526863726e-01
7.533226204769951639e-01,6.994047779589891434e-01,7.964607504426791662e-01,7.017921311880952473e-01
7.137344051152467728e-01,7.172619210822241964e-01,7.865806324507600422e-01,6.946236709112761920e-01
7.322355681764227686e-01,7.023809695882456960e-01,7.648781121418040119e-01,6.931899802018237633e-01
6.990973574242421718e-01,7.202381113810198965e-01,7.148993617744856532e-01,7.197132767528615638e-01
7.291953667466130051e-01,6.755952547703470978e-01,7.268581374358105140e-01,7.218638148999982906e-01
6.359543688595294952e-01,7.500000135707003412e-01,7.195364502809380447e-01,7.247311969598134729e-01
7.356038266526800928e-01,6.785714458674192429e-01,6.988045057301880414e-01,7.469534194597633459e-01
7.039038601464459033e-01,7.440476337713854971e-01,6.820296685221374222e-01,7.369175777640394331e-01
7.048377719308648315e-01,7.440476343035697937e-01,7.190642928083738061e-01,7.247311979211786825e-01
6.982149577566555410e-01,7.232142990188938914e-01,7.255177670909512821e-01,7.290322742154521363e-01
6.023571219827447143e-01,7.589285839349031448e-01,7.078498239799212444e-01,7.304659652453596719e-01
7.299632239820701418e-01,7.202381087200981913e-01,6.875650522208982540e-01,7.347670402578128090e-01
