# val_loss, val_acc, loss, acc
7.731102455306697596e-01,7.177177318581590137e-01,6.891780623968148944e-01,7.469269847921590211e-01
1.003194439787048475e+00,6.186186373233795166e-01,6.716372450235867930e-01,7.599421677517012030e-01
7.472924173952223414e-01,7.267267416726361784e-01,6.547071669016381046e-01,7.498192480743061106e-01
9.450169774863097505e-01,6.486486666374378096e-01,6.758643454364995362e-01,7.577729714537391192e-01
9.754107543477067432e-01,6.126126303329123557e-01,6.936311037673609237e-01,7.404193923426811708e-01
6.881672621847273463e-01,6.996997162565454786e-01,6.923993063722928554e-01,7.606652340894148878e-01
6.856024974772522151e-01,7.327327473206562969e-01,6.849411071122597505e-01,7.331887353656090234e-01
7.509554145128830571e-01,6.782608874466108384e-01,6.230080996573359453e-01,7.700650896270984092e-01
7.403712377354905172e-01,6.936937106085253602e-01,6.572497791556112245e-01,7.462039190362694807e-01
9.000965010475467931e-01,6.246246440453572246e-01,7.136472036936795105e-01,7.396963261989089045e-01
8.148518404713621655e-01,6.846847007940480845e-01,6.797348690459630305e-01,7.447577877830786619e-01
7.874367906972095099e-01,7.027027190805555934e-01,6.748782175546612638e-01,7.483731166271739843e-01
6.254723492909122218e-01,7.387387529686764154e-01,6.374550334737513202e-01,7.693420234833260318e-01
6.755011658276524056e-01,7.357357514871133430e-01,7.294562511356171841e-01,7.346348665541526657e-01
7.494147062838614204e-01,7.207207360246159489e-01,6.973436560780779114e-01,7.339118007336159488e-01
7.488839787405889847e-01,7.177177342745635347e-01,6.539020795625616334e-01,7.433116553662397763e-01
6.841941132201804221e-01,7.117117275525858267e-01,6.522565998638012452e-01,7.505423132483716175e-01
9.183723780217470933e-01,6.606606768595205681e-01,6.959395624874987751e-01,7.563268402651954769e-01
7.673537258629326008e-01,6.906907091269621768e-01,7.108708749365650892e-01,7.368040647915283792e-01
8.039771080822557536e-01,6.996997162565454786e-01,6.862838481292290460e-01,7.404193926659168312e-01
6.332953276934923936e-01,7.477477627831536910e-01,6.852727333596885240e-01,7.527115108392761211e-01
7.194354045498478900e-01,7.477477614407066486e-01,6.884977326863758185e-01,7.274042080901966800e-01
9.410033687814935988e-01,6.696696850630614595e-01,6.815129556327476079e-01,7.462039193595050302e-01
7.999694946112932969e-01,6.636636791465518881e-01,6.981766935672263363e-01,7.418655244362845069e-01
6.918614800717379776e-01,7.357357501446664116e-01,6.697362626452249001e-01,7.368040627874676840e-01
8.138934881300539104e-01,6.486486663689484677e-01,6.376593778487658071e-01,7.462039192302107882e-01
7.081389310392173231e-01,7.477477627831536910e-01,6.569290970514756189e-01,7.613883005564228146e-01
6.262169836072234430e-01,7.537537684311738095e-01,6.463645273847848927e-01,7.621113659244297400e-01
7.188826901418668980e-01,7.087087247285757119e-01,6.993870456539369451e-01,7.425885902568213348e-01
6.425452022939115437e-01,7.207207360246159489e-01,6.209892190653434341e-01,7.700650889806271993e-01
