# val_loss, val_acc, loss, acc
9.829396475916323261e-01,5.623188575972681846e-01,1.658009737089116031e+00,3.992831655727919760e-01
8.284377109504745818e-01,6.197604946569054141e-01,1.173799374039714793e+00,5.376266449172314443e-01
8.406952227839452618e-01,6.437125917144878029e-01,1.057221946900901877e+00,6.041968328023784585e-01
8.406469688087165881e-01,6.616766653553454169e-01,9.809986310438205681e-01,6.201157919879242142e-01
7.371623707031775830e-01,6.976048071048930321e-01,9.253657779369270919e-01,6.425470512699977821e-01
8.143690584483974648e-01,7.065868431222652735e-01,8.455282122802458833e-01,6.866859790643976558e-01
7.731043561668453634e-01,7.125748628806211071e-01,8.109860800681083504e-01,6.953690459604028318e-01
6.879282061032906403e-01,7.275449262407724937e-01,7.932626296012688094e-01,6.924746920248189275e-01
7.261245365806682228e-01,7.245509144431816484e-01,7.965273364472664763e-01,6.997105796240518094e-01
8.988220934382455951e-01,6.706587009265750909e-01,7.473086584602010030e-01,7.076700591359573744e-01
8.314694987978049623e-01,6.736527127241660473e-01,7.404560672736547611e-01,7.091172370957223858e-01
8.107853019665814953e-01,6.766467241648428388e-01,7.777224996500525789e-01,7.047757037124137147e-01
9.161547603542933293e-01,6.556886432770483442e-01,7.213072375476619058e-01,7.279305506589270891e-01
1.015590167777266961e+00,6.257485209289425088e-01,7.648864153734854510e-01,6.989869926065508388e-01
8.415651195598933265e-01,7.035928307000748338e-01,7.704901776657953061e-01,7.192474828356426597e-01
1.002859788115866957e+00,5.688622931163468399e-01,7.067210508561686533e-01,7.301013175338808558e-01
6.682059391886888688e-01,7.275449262407724937e-01,7.016867317701386275e-01,7.337192623254704671e-01
8.121486108103198598e-01,7.305389380383634501e-01,7.247957911142909326e-01,7.235890165424209153e-01
6.823750569256480381e-01,7.395209707542808042e-01,6.899781183443435273e-01,7.322720839667595794e-01
7.554202938151216573e-01,7.245509144431816484e-01,6.280747563962308933e-01,7.612156433884901263e-01
8.276019254308975004e-01,6.526946284456881520e-01,6.935583538821913363e-01,7.424023284882781404e-01
9.166879226526100100e-01,6.377245682977630281e-01,7.271227269351223654e-01,7.243126061908070623e-01
7.238334230409411152e-01,7.245509146216386753e-01,7.124081294978233947e-01,7.301013172104113824e-01
7.271627226097141516e-01,7.275449250808019297e-01,6.636910333086544211e-01,7.235890172324891401e-01
7.618143325266630850e-01,7.362318997797758779e-01,7.272779772815587407e-01,7.192474831159828552e-01
