# val_loss, val_acc, loss, acc
7.203265178416456971e-01,7.172619184213024912e-01,6.260949047182196026e-01,7.577061069908962443e-01
6.356151564312833013e-01,7.380952531737940969e-01,6.146939154914630166e-01,7.562724153200784949e-01
6.342937565807785782e-01,7.410714440047740936e-01,5.911079214144778771e-01,7.698924868337569949e-01
6.271662871752466950e-01,7.410714421421289444e-01,6.075416571030052282e-01,7.548387230083506427e-01
6.048281474837234883e-01,7.589285839349031448e-01,6.275145110263619097e-01,7.555555691642146243e-01
6.050790558968272004e-01,7.738095359610659418e-01,5.771043737649276251e-01,7.820788660357075317e-01
6.263672483286687465e-01,7.500000143689768972e-01,5.673796481663181401e-01,7.827957118711164064e-01
5.900733778253197670e-01,7.678571566939353943e-01,5.254448741594309746e-01,7.992831660855200804e-01
5.934426755245242324e-01,7.589285852653639974e-01,5.499146430883355974e-01,7.878136327189784183e-01
6.145629716504897866e-01,7.619047755641596975e-01,5.201292879959588111e-01,8.078853161104263547e-01
6.064634076927019057e-01,7.565217536428699985e-01,5.626510706960513586e-01,7.949820907526118363e-01
5.979216223848717870e-01,7.648809663951396942e-01,4.941573841597444172e-01,8.093190077812441041e-01
5.632294087803789706e-01,7.589285839349031448e-01,5.005497446944636719e-01,8.114695452874706172e-01
5.949898660182952881e-01,7.559523954987525940e-01,5.636273643342397666e-01,7.878136320780682045e-01
5.488475344276854129e-01,7.738095372915267944e-01,5.061509239897933332e-01,7.935483994022491938e-01
5.859847220459154515e-01,7.738095372915267944e-01,5.345027081428035398e-01,7.899641702252049313e-01
5.957928279946956840e-01,7.351190620767218409e-01,4.936286511440430846e-01,7.985663202501112057e-01
5.226740974134632678e-01,8.005952499806880951e-01,5.079048307993079270e-01,8.093190077812441041e-01
