# val_loss, val_acc, loss, acc
1.016711180624754629e+00,5.391304479992907739e-01,1.570928737681399179e+00,4.193548506466291403e-01
8.768905276309943986e-01,5.808383426266515714e-01,1.145758202339909326e+00,5.636758487536834838e-01
8.522413149922193343e-01,6.586826535577545716e-01,1.002518088962510712e+00,6.157742575910778449e-01
1.011279673901146703e+00,6.377245682977630281e-01,9.474556143523642504e-01,6.447178178646112423e-01
8.852749732797017268e-01,6.467066063673910792e-01,8.986766306864024667e-01,6.642547200195351165e-01
8.206320806534704859e-01,6.526946299625727699e-01,8.658173831473555682e-01,6.657018993163074105e-01
9.687827018028247750e-01,5.868263625634644320e-01,8.424412709716087022e-01,6.823444452713608444e-01
7.881162840270710124e-01,6.437125917144878029e-01,7.456679604893655666e-01,7.127351812403730502e-01
8.475375633218331650e-01,6.616766613400625330e-01,7.333706570128800672e-01,7.192474834825816066e-01
8.862483294424182700e-01,6.616766613400625330e-01,7.449652447908383657e-01,7.272069616574799999e-01
7.614942924705093708e-01,6.886227690352650921e-01,6.921785884845446102e-01,7.344428512406591114e-01
7.510041296482086182e-01,7.275449260623155778e-01,7.087595362954822731e-01,7.293777285324336557e-01
9.016823239490657782e-01,6.646706773313934002e-01,7.038212706336236524e-01,7.438495080222614630e-01
6.388249158145424822e-01,7.245509146216386753e-01,6.953038368239330413e-01,7.192474832022414111e-01
9.235524935815149217e-01,6.437125942128860689e-01,7.025645992215912017e-01,7.257597838271026003e-01
9.575136698291687454e-01,6.676646869428857212e-01,6.854844479060121509e-01,7.308249074194780315e-01
7.243398957980606845e-01,7.245509146216386753e-01,6.538279885170084071e-01,7.402315629503316563e-01
9.842642183432321890e-01,6.257485224458272377e-01,6.639425563053180657e-01,7.612156437119595997e-01
8.872313451267288542e-01,6.197604921585071480e-01,6.801259014243327128e-01,7.380607963557180851e-01
7.715829195912012883e-01,7.095808541167996086e-01,7.341510721855674104e-01,7.286541386468365911e-01
7.748509521434406855e-01,6.706586994096904730e-01,6.673440385000664055e-01,7.438495080222614630e-01
9.237840112276419768e-01,6.856287593791584589e-01,6.838687740686832939e-01,7.510853973251003790e-01
8.003361512443976089e-01,7.155688790504090013e-01,6.662603321009451518e-01,7.496382193653352566e-01
