# val_loss, val_acc, loss, acc
6.468653806044669663e-01,7.305389366999357481e-01,6.397049895631938821e-01,7.583212875983477153e-01
6.741679785494318899e-01,7.544910325975475729e-01,6.521634916126641812e-01,7.554269320022870549e-01
7.097129547845817399e-01,7.245509117663263554e-01,5.994129004940800254e-01,7.764110105427577402e-01
6.988099034050267999e-01,7.275449250808019297e-01,5.425313184989344339e-01,7.916063796378424167e-01
6.093866746582671245e-01,7.694610914070448837e-01,5.957265460834058057e-01,7.698987111686452778e-01
6.782722070723951058e-01,7.395209732526790702e-01,5.843458162289106861e-01,7.821997234600497340e-01
6.786885287411912326e-01,7.245509131047540574e-01,5.661854772315011441e-01,7.793053673895671274e-01
7.174463449659461700e-01,7.245509132832109733e-01,5.226218137895491944e-01,7.901592020015467677e-01
6.711007622544636897e-01,7.395209734311360972e-01,5.608712657207862717e-01,7.908827903991842989e-01
