# val_loss, val_acc, loss, acc
6.934221972216356722e-01,7.417417571351334615e-01,6.775817590848484118e-01,7.476500505480486725e-01
6.939389625111141990e-01,7.237237375061791322e-01,6.389436458041507505e-01,7.592191023190471011e-01
6.418941817036619701e-01,7.237237401910729950e-01,6.354067161388355922e-01,7.584960375328643201e-01
6.665443920337401629e-01,7.207207370985735384e-01,6.162524586644452240e-01,7.693420231600903714e-01
6.550234711921967268e-01,7.267267430150831098e-01,5.749523674750017799e-01,7.794649441304278836e-01
6.510177705738995346e-01,7.387387543111234578e-01,5.843040799305909694e-01,7.780188126186486919e-01
6.293325022510860567e-01,7.507246525391287895e-01,5.526169593771212973e-01,7.830802731684645135e-01
6.339143536112330501e-01,7.477477625146642382e-01,5.644506671811391207e-01,7.924801276717940990e-01
5.953681195104444379e-01,7.537537644038329043e-01,5.426843167967496662e-01,7.975415882862570971e-01
6.245364646116892127e-01,7.417417557926865301e-01,5.780981180789414031e-01,7.736804183418993786e-01
6.187001791623261138e-01,7.537537670887268781e-01,5.409896209545094203e-01,7.968185225950146222e-01
6.059361497561136511e-01,7.717717853752342760e-01,5.309979986569111077e-01,7.989877198626834653e-01
5.943819579777417372e-01,7.387387529686764154e-01,5.364203830279911100e-01,7.932031937509192998e-01
5.897278157440392077e-01,7.537537684311738095e-01,5.035366519089634618e-01,8.105567719569175544e-01
5.435403776061427106e-01,7.837837966712745130e-01,5.033032684677851698e-01,8.062183774215797571e-01
6.551248370795637044e-01,7.417417571351334615e-01,5.016198703885854648e-01,8.112798377128070948e-01
5.958677189307169941e-01,7.777777910232543945e-01,5.044398620207500850e-01,8.163412976807989940e-01
5.614838747827856080e-01,7.717717840327872336e-01,4.917332826590330996e-01,8.120029034040496807e-01
6.534081870639646406e-01,7.327327473206562969e-01,4.738045804154071283e-01,8.264642185864893298e-01
6.006947762525833845e-01,7.507507656071636948e-01,4.836610417465584399e-01,8.127259692245863976e-01
5.400205659973729144e-01,7.897898023192947425e-01,4.647829402036108282e-01,8.264642185864893298e-01
6.311225823990933570e-01,7.297297444966461821e-01,4.106259494454250203e-01,8.344179419012752730e-01
6.029126061512543044e-01,7.687687822827348194e-01,4.908182474091616898e-01,8.228488897423941184e-01
6.029473708288090039e-01,7.687687812087772299e-01,4.433667229856172454e-01,8.235719555629308353e-01
6.030097185625685752e-01,7.567567712551838133e-01,4.440916504896773032e-01,8.264642185218422643e-01
5.577513813167005452e-01,7.837837966712745130e-01,4.148783278924265683e-01,8.510484542867366997e-01
5.838827947238544036e-01,7.567567712551838133e-01,4.230086590585636075e-01,8.365871391689441161e-01
5.517419798148645027e-01,7.867867981528376964e-01,4.804353845384529698e-01,8.221258240511515325e-01
6.046833066387219402e-01,7.627627769032040428e-01,4.176596653467921083e-01,8.351410075925177479e-01
5.875521921091251265e-01,7.777777910232543945e-01,4.238228705790451634e-01,8.575560460897433401e-01
5.909874011640963154e-01,7.681159558503524165e-01,4.124950711774981182e-01,8.452639281749725342e-01
5.887719420967875150e-01,7.687687812087772299e-01,4.152345540498962873e-01,8.445408624837300593e-01
5.795426312330607121e-01,7.747747881992442798e-01,4.121023437610287776e-01,8.344179419012752730e-01
5.852878567603256865e-01,7.627627769032040428e-01,4.362132464436543344e-01,8.250180870100629615e-01
5.190171383254162940e-01,7.927928051433047463e-01,4.256733253662860483e-01,8.402024676251567126e-01
