# val_loss, val_acc, loss, acc
9.932407348052315621e-01,5.594203083411507516e-01,1.638794427917849683e+00,3.978494752639083476e-01
9.915572517289372723e-01,5.988024120737692746e-01,1.186910104130525445e+00,5.361794652215133850e-01
9.748129406553542875e-01,6.586826537362115985e-01,1.042084879925213148e+00,6.020260657225607881e-01
8.032999340288653478e-01,7.005988187240269616e-01,9.814976505320600619e-01,6.027496569882943023e-01
7.094193119221104959e-01,7.395209732526790702e-01,8.390819399513832488e-01,6.729377901933645267e-01
8.308199557537090385e-01,7.035928291831902159e-01,8.243933083265804207e-01,6.707670210109950570e-01
7.144198986049183908e-01,7.544910324190905460e-01,8.358761237775192976e-01,6.722141992511003750e-01
7.368062384828122369e-01,7.395209732526790702e-01,7.860856453865205928e-01,7.112880042941456260e-01
8.274758036978944187e-01,7.305389382168204770e-01,7.499633791671820315e-01,7.069464702638978970e-01
7.508082197097960542e-01,7.335329498359542955e-01,7.807284873814555048e-01,7.011577594815046055e-01
7.731733550568540281e-01,7.305389366999357481e-01,7.234276238176566842e-01,7.228654273468919644e-01
6.750370712872750811e-01,7.814371387758655141e-01,7.709806414291413557e-01,7.011577581876266008e-01
6.883638831312784978e-01,7.514970192830719986e-01,7.405928223570418245e-01,7.134587724198481196e-01
7.635197088925423925e-01,7.005988173855992596e-01,7.030759514801409038e-01,7.395079749624221543e-01
7.612922444136557276e-01,7.215569014856201280e-01,6.961678225552466737e-01,7.315484961405849251e-01
6.822147919032388597e-01,7.634730679903202200e-01,7.218115721895277392e-01,7.192474828356426597e-01
8.786601800761536518e-01,7.125748672528181560e-01,7.364225319860295826e-01,7.141823604077575105e-01
6.823490307091952811e-01,7.125748668959041021e-01,6.915362205803825546e-01,7.293777279717532647e-01
7.491448689363673363e-01,7.365269602951175498e-01,7.020541429735299710e-01,7.380607964419766409e-01
